ON, 0, OFF, 0, Temperature, 20.000000
ON, 0, OFF, 0, Temperature, 20.000000
ON, 1, OFF, 0, Temperature, 20.000000
ON, 0, OFF, 0, Temperature, 20.000000
ON, 0, OFF, 0, Temperature, 21.935448
ON, 0, OFF, 0, Temperature, 23.842081
ON, 0, OFF, 0, Temperature, 25.720327
ON, 0, OFF, 0, Temperature, 27.570610
ON, 0, OFF, 0, Temperature, 29.393347
ON, 0, OFF, 0, Temperature, 31.188946
ON, 0, OFF, 0, Temperature, 32.957813
ON, 0, OFF, 0, Temperature, 34.700344
ON, 0, OFF, 0, Temperature, 36.416931
ON, 0, OFF, 0, Temperature, 38.107964
ON, 0, OFF, 0, Temperature, 39.773819
ON, 0, OFF, 0, Temperature, 41.414871
ON, 0, OFF, 0, Temperature, 43.031494
ON, 0, OFF, 0, Temperature, 44.624046
ON, 0, OFF, 0, Temperature, 46.192890
ON, 0, OFF, 0, Temperature, 47.738377
ON, 0, OFF, 0, Temperature, 49.260857
ON, 0, OFF, 0, Temperature, 50.760666
ON, 0, OFF, 0, Temperature, 52.238148
ON, 0, OFF, 0, Temperature, 53.693630
ON, 0, OFF, 0, Temperature, 55.127445
ON, 0, OFF, 0, Temperature, 56.539913
ON, 0, OFF, 0, Temperature, 57.931355
ON, 0, OFF, 0, Temperature, 59.302078
ON, 0, OFF, 0, Temperature, 60.652393
ON, 0, OFF, 0, Temperature, 61.982605
ON, 0, OFF, 0, Temperature, 63.293015
ON, 0, OFF, 0, Temperature, 64.583916
ON, 0, OFF, 0, Temperature, 65.855591
ON, 0, OFF, 0, Temperature, 67.108337
ON, 0, OFF, 0, Temperature, 68.342438
ON, 0, OFF, 0, Temperature, 69.558159
ON, 0, OFF, 0, Temperature, 70.755783
ON, 0, OFF, 0, Temperature, 71.935577
ON, 0, OFF, 0, Temperature, 73.097801
ON, 0, OFF, 0, Temperature, 74.242729
ON, 0, OFF, 0, Temperature, 75.370605
ON, 0, OFF, 0, Temperature, 76.481689
ON, 0, OFF, 0, Temperature, 77.576241
ON, 0, OFF, 0, Temperature, 78.654488
ON, 0, OFF, 0, Temperature, 79.716682
ON, 0, OFF, 0, Temperature, 80.763069
ON, 0, OFF, 0, Temperature, 81.793869
ON, 0, OFF, 0, Temperature, 82.809326
ON, 0, OFF, 0, Temperature, 83.809662
ON, 0, OFF, 0, Temperature, 84.795113
ON, 0, OFF, 0, Temperature, 85.765884
ON, 0, OFF, 0, Temperature, 86.722206
ON, 0, OFF, 0, Temperature, 87.664291
ON, 0, OFF, 0, Temperature, 88.592346
ON, 0, OFF, 0, Temperature, 89.506592
ON, 0, OFF, 0, Temperature, 90.407219
ON, 0, OFF, 0, Temperature, 91.294441
ON, 0, OFF, 0, Temperature, 92.168449
ON, 0, OFF, 0, Temperature, 93.029449
ON, 0, OFF, 0, Temperature, 93.877632
ON, 0, OFF, 0, Temperature, 94.713188
ON, 0, OFF, 0, Temperature, 95.536301
ON, 0, OFF, 0, Temperature, 96.347160
ON, 0, OFF, 0, Temperature, 97.145943
ON, 0, OFF, 0, Temperature, 97.932838
ON, 0, OFF, 0, Temperature, 98.708015
ON, 0, OFF, 0, Temperature, 99.471657
ON, 0, OFF, 0, Temperature, 100.000000
ON, 0, OFF, 0, Temperature, 100.000000
ON, 0, OFF, 1, Temperature, 100.000000
ON, 0, OFF, 0, Temperature, 100.000000
ON, 0, OFF, 0, Temperature, 98.511192
ON, 0, OFF, 0, Temperature, 97.044556
ON, 0, OFF, 0, Temperature, 95.599747
ON, 0, OFF, 0, Temperature, 94.176453
ON, 0, OFF, 0, Temperature, 92.774345
ON, 0, OFF, 0, Temperature, 91.393120
ON, 0, OFF, 0, Temperature, 90.032455
ON, 0, OFF, 0, Temperature, 88.692047
ON, 0, OFF, 0, Temperature, 87.371590
ON, 0, OFF, 0, Temperature, 86.070801
ON, 0, OFF, 0, Temperature, 84.789368
ON, 0, OFF, 0, Temperature, 83.527023
ON, 0, OFF, 0, Temperature, 82.283463
ON, 0, OFF, 0, Temperature, 81.058426
ON, 0, OFF, 0, Temperature, 79.851624
ON, 0, OFF, 0, Temperature, 78.662788
ON, 0, OFF, 0, Temperature, 77.491653
ON, 0, OFF, 0, Temperature, 76.337952
ON, 0, OFF, 0, Temperature, 75.201424
ON, 0, OFF, 0, Temperature, 74.081825
ON, 0, OFF, 0, Temperature, 72.978889
ON, 0, OFF, 0, Temperature, 71.892372
ON, 0, OFF, 0, Temperature, 70.822037
ON, 0, OFF, 0, Temperature, 69.767632
ON, 0, OFF, 0, Temperature, 68.728928
ON, 0, OFF, 0, Temperature, 67.705688
ON, 0, OFF, 0, Temperature, 66.697678
ON, 0, OFF, 0, Temperature, 65.704681
ON, 0, OFF, 0, Temperature, 64.726463
ON, 0, OFF, 0, Temperature, 63.762814
ON, 0, OFF, 0, Temperature, 62.813511
ON, 0, OFF, 0, Temperature, 61.878338
ON, 0, OFF, 0, Temperature, 60.957092
ON, 0, OFF, 0, Temperature, 60.049557
ON, 0, OFF, 0, Temperature, 59.155537
ON, 0, OFF, 0, Temperature, 58.274826
ON, 0, OFF, 0, Temperature, 57.407227
ON, 0, OFF, 0, Temperature, 56.552544
ON, 0, OFF, 0, Temperature, 55.710587
ON, 0, OFF, 0, Temperature, 54.881165
ON, 0, OFF, 0, Temperature, 54.064091
ON, 0, OFF, 0, Temperature, 53.259182
ON, 0, OFF, 0, Temperature, 52.466255
ON, 0, OFF, 0, Temperature, 51.685135
ON, 0, OFF, 0, Temperature, 50.915642
ON, 0, OFF, 0, Temperature, 50.157608
ON, 0, OFF, 0, Temperature, 49.410858
ON, 0, OFF, 0, Temperature, 48.675224
ON, 0, OFF, 0, Temperature, 47.950546
ON, 0, OFF, 0, Temperature, 47.236656
ON, 0, OFF, 0, Temperature, 46.533394
ON, 0, OFF, 0, Temperature, 45.840603
ON, 0, OFF, 0, Temperature, 45.158123
ON, 0, OFF, 0, Temperature, 44.485806
ON, 0, OFF, 0, Temperature, 43.823498
ON, 0, OFF, 0, Temperature, 43.171051
ON, 0, OFF, 0, Temperature, 42.528320
ON, 0, OFF, 0, Temperature, 41.895153
ON, 0, OFF, 0, Temperature, 41.271416
ON, 0, OFF, 0, Temperature, 40.656967
ON, 0, OFF, 0, Temperature, 40.051662
ON, 0, OFF, 0, Temperature, 39.455372
ON, 0, OFF, 0, Temperature, 38.867958
ON, 0, OFF, 0, Temperature, 38.289288
ON, 0, OFF, 0, Temperature, 37.719234
ON, 0, OFF, 0, Temperature, 37.157669
ON, 0, OFF, 0, Temperature, 36.604462
ON, 0, OFF, 0, Temperature, 36.059494
ON, 0, OFF, 0, Temperature, 35.522636
ON, 0, OFF, 0, Temperature, 34.993774
ON, 0, OFF, 0, Temperature, 34.472786
ON, 0, OFF, 0, Temperature, 33.959553
ON, 0, OFF, 0, Temperature, 33.453960
ON, 0, OFF, 0, Temperature, 32.955894
ON, 0, OFF, 0, Temperature, 32.465248
ON, 0, OFF, 0, Temperature, 31.981903
ON, 0, OFF, 0, Temperature, 31.505754
ON, 0, OFF, 0, Temperature, 31.036694
ON, 0, OFF, 0, Temperature, 30.574617
ON, 0, OFF, 0, Temperature, 30.119421
