Name,Neighbours,TREST,TCOND,TERP,TRRP
SinoatrialNode,1,400,10,200,100
BachmannBundle,1,400,10,200,100
LeftAtrium,1,400,10,200,100
LeftAtrium1,1,400,10,200,100
RightAtrium,1,400,10,200,100
RightAtrium1,1,400,10,200,100
CoronarySinus,1,400,10,200,100
CristaTerminalis,1,400,10,200,100
CristaTerminalis1,1,400,10,200,100
Ostium,1,400,10,200,100
Fast,1,400,10,200,100
Fast1,1,400,10,200,100
Slow,1,400,10,200,100
Slow1,1,400,10,200,100
AtrioventricularNode,2,400,10,200,100
BundleOfHis,1,400,10,200,100
BundleOfHis1,1,400,10,200,100
BundleOfHis2,1,400,10,200,100
LeftBundleBranch,1,400,10,200,100
LeftBundleBranch1,1,400,10,200,100
LeftVentricularApex,1,400,10,200,100
LeftVentricle,1,400,10,200,100
LeftVentricle1,1,400,10,200,100
LeftVentricularSeptum,1,400,10,200,100
LeftVentricularSeptum1,1,400,10,200,100
CSLeftVentricular,1,400,10,200,100
RightBundleBranch,1,400,10,200,100
RightBundleBranch1,1,400,10,200,100
RightVentricularApex,1,400,10,200,100
RightVentricle,1,400,10,200,100
RightVentricle1,1,400,10,200,100
RightVentricularSeptum,1,400,10,200,100
RightVentricularSeptum1,1,400,10,200,100
