a,b,c,d,e,f,g,h,i,j,k
1,0.5,20,y,0,ON,0,OFF,0,signal,0
2,1,20,y,0,ON,0,OFF,0,signal,0
3,1.5,20,y,0,ON,0,OFF,0,signal,0
4,2,20,y,0,ON,0,OFF,0,signal,0
5,2.5,20,y,0,ON,0,OFF,0,signal,0
6,3,20,y,0,ON,0,OFF,0,signal,0
7,3.5,20,y,0,ON,0,OFF,0,signal,0
8,4,20,y,0,ON,0,OFF,0,signal,0
9,4.5,20,y,0.1,ON,0,OFF,0,signal,0
10,5,20,y,0,ON,0,OFF,0,signal,1
11,5.5,20,y,0,ON,1,OFF,0,signal,1
12,6,24.784726,y,0,ON,0,OFF,0,signal,1
13,6.5,29.393347,y,0,ON,0,OFF,0,signal,1
14,7,33.832345,y,0,ON,0,OFF,0,signal,1
15,7.5,38.107963,y,0,ON,0,OFF,0,signal,1
16,8,42.226215,y,0,ON,0,OFF,0,signal,1
17,8.5,46.192892,y,0,ON,0,OFF,0,signal,1
18,9,50.013573,y,0,ON,0,OFF,0,signal,1
19,9.5,53.693631,y,0,ON,0,OFF,0,signal,1
20,10,57.238243,y,0,ON,0,OFF,0,signal,1
21,10.5,60.652394,y,0,ON,0,OFF,0,signal,1
22,11,63.940884,y,0,ON,0,OFF,0,signal,1
23,11.5,67.10834,y,0,ON,0,OFF,0,signal,1
24,12,70.159216,y,0,ON,0,OFF,0,signal,1
25,12.5,73.097803,y,0,ON,0,OFF,0,signal,1
26,13,75.928233,y,0,ON,0,OFF,0,signal,1
27,13.5,78.654487,y,0,ON,0,OFF,0,signal,1
28,14,81.2804,y,0,ON,0,OFF,0,signal,1
29,14.5,83.809665,y,0,ON,0,OFF,0,signal,1
30,15,86.245839,y,0,ON,0,OFF,0,signal,1
31,15.5,88.592348,y,0,ON,0,OFF,0,signal,1
32,16,90.852493,y,0,ON,0,OFF,0,signal,1
33,16.5,93.029451,y,0,ON,0,OFF,0,signal,1
34,17,95.126285,y,0,ON,0,OFF,0,signal,1
35,17.5,97.145944,y,0,ON,0,OFF,0,signal,1
36,18,99.091269,y,0,ON,0,OFF,0,signal,1
37,18.5,100,y,0,ON,0,OFF,0,signal,1
38,19,100,y,0,ON,0,OFF,0,signal,1
39,19.5,100,y,0,ON,0,OFF,0,signal,1
40,20,100,y,0,ON,0,OFF,0,signal,1
41,20.5,100,y,0,ON,0,OFF,0,signal,1
42,21,100,y,0,ON,0,OFF,0,signal,1
43,21.5,100,y,0,ON,0,OFF,0,signal,1
44,22,100,y,0,ON,0,OFF,0,signal,1
45,22.5,100,y,0,ON,0,OFF,0,signal,1
46,23,100,y,0,ON,0,OFF,0,signal,1
47,23.5,100,y,0,ON,0,OFF,0,signal,1
48,24,100,y,0,ON,0,OFF,0,signal,1
49,24.5,100,y,0,ON,0,OFF,0,signal,1
50,25,100,y,0,ON,0,OFF,0,signal,1
51,25.5,100,y,0,ON,0,OFF,0,signal,1
52,26,100,y,0,ON,0,OFF,0,signal,1
53,26.5,100,y,0,ON,0,OFF,0,signal,1
54,27,100,y,0,ON,0,OFF,0,signal,1
55,27.5,100,y,0,ON,0,OFF,0,signal,1
56,28,100,y,0,ON,0,OFF,0,signal,1
57,28.5,100,y,0,ON,0,OFF,0,signal,1
58,29,100,y,0,ON,0,OFF,0,signal,1
59,29.5,100,y,0,ON,0,OFF,0,signal,1
60,30,100,y,0,ON,0,OFF,0,signal,1
